,Bremerhaven,Rostock-Warnemuende,Hamburg-Fuhlsbuettel,Postdam,Essen,Bad Marienberg,Kassel,Braunlage,Chemnitz,Hof,Fichtelberg,Mannheim,Muehldorf/Inn,Stotten,Garmisch-Partenkirchen
2011-01-01 00:00:00,274.8010866707303,275.39260558164636,274.8933874403867,274.4864700687833,273.60812403495663,271.2579280935988,272.1551312739145,271.9258680718648,270.21681511113076,267.92021316505736,268.2646042088289,271.93579288580634,271.95564251368944,266.67663397818177,266.061295513806
2011-01-01 01:00:00,275.3330566979971,275.72707181147643,275.1008160517649,274.4150114084042,273.7431015045616,271.7879131580773,272.55410879436454,272.3020185202493,269.9855669462928,268.02640867423185,268.15940118104857,272.45585313634325,272.6086952710431,266.16550606019223,265.53031796793334
2011-01-01 02:00:00,275.6427108929733,275.96526734607346,275.68439511152775,274.27407905043424,274.0160338879541,272.0866500577178,272.9501088706322,272.531281722299,270.0609955322485,268.13756659037716,268.33209294363144,272.0668004298347,272.99675549615745,265.2524231775701,264.4455358041225
2011-01-01 03:00:00,275.72409436729396,276.19552302951735,275.9077034252125,274.41600388979833,274.240334683033,272.59976293849564,273.0761540076898,272.6503794895975,269.99747672302266,268.49386741087864,268.4353110086235,272.2593418203007,273.11684574485014,265.30601717285447,264.2420771183209
2011-01-01 04:00:00,275.98511697395656,276.41287645483715,276.14490647841546,274.6978686057382,274.3524850805725,272.9302592427491,273.15654500061635,272.7684847755019,269.9905293532636,268.7816870151834,268.476995227178,272.1124545739658,273.0592818239892,265.3427389844382,263.960212402381
2011-01-01 05:00:00,276.1865906969699,276.4972373733403,276.4029516408956,275.0492070192689,274.5301392501261,273.20418410753575,273.4126052003082,273.08707130302554,269.79004811164435,269.11218331943684,268.4541681551124,272.12734179487813,273.65080073490526,265.28219761939476,263.7468289026378
2011-01-01 06:00:00,276.437688489691,276.28683131777956,276.4416584152676,275.30625970035493,274.6522144616071,273.3381690957466,273.65973306745263,273.29846983998044,270.00045416720513,269.22631867976463,268.56433358986357,272.505477206051,273.4473420491036,264.3591899228311,263.09377614528415
2011-01-01 07:00:00,276.3225606479691,276.0277936739052,276.0178688599637,275.60400411860127,274.83185359394906,273.62698118144556,273.7887556486927,273.4979586002055,270.198950446036,269.47840895387986,268.6933561711037,272.5094471316276,273.51185333972364,264.3105583345175,263.04911448254717
2011-01-01 08:00:00,275.97916208559167,275.8600643182931,275.58018456514156,275.8541094299282,274.83185359394906,273.5942292954384,274.02794366468396,273.5505601140957,270.63663474085814,269.8009654069801,269.0417171404519,272.2017778994397,273.42253001424973,264.8226787339012,263.2992197938741
2011-01-01 09:00:00,275.9027410182417,275.8670116880522,275.76974851142506,276.13101173889726,274.9142295496639,273.4126052003082,274.2800339387992,273.61110147913905,271.2896874982118,270.1562737460874,269.6372059769446,272.21468015756375,273.0801239332664,267.16791226828826,265.6255961817722
2011-01-01 10:00:00,276.07543278082466,275.7558537719069,276.1439139970213,276.302711020086,275.18120704469146,273.41756760727895,274.55395880358583,273.90388349041467,271.88616881609863,270.37858957837796,270.02725116484726,273.2925149516155,273.41756760727895,268.952393814978,267.71675447925566
2011-01-01 11:00:00,276.22728243413025,275.68241014873945,276.5141095570409,276.4208163059904,275.35985369563923,273.72126691389025,274.728635528957,273.86418423464846,272.21170271338127,270.8579580917546,270.3656873202539,273.81853009051736,273.27167284233826,270.66243925710614,270.68824377335415
2011-01-01 12:00:00,276.31859072239246,275.58216952792986,276.5875531802083,276.5607561825662,275.435282281595,273.8294473858531,274.76138741496413,273.8393721997946,272.51937194556916,271.43161233757587,270.5562437479316,273.8939586764731,273.5604849280372,272.16207864367357,271.98243951133156
2011-01-01 13:00:00,276.2550719131666,275.44619957693067,276.5617486639603,276.5141095570409,275.4561243908722,273.69843984182467,274.7276430475629,273.84433460676536,272.73474040810066,271.5705597327575,270.9383490846811,273.9554925229107,273.5733871861612,272.52234938975164,272.4131764363946
2011-01-01 14:00:00,276.0962748901019,275.2586205934355,276.0516132273649,276.4228012687787,275.5950717860539,273.7371466161967,274.69092123597915,273.93266545084515,272.8627705079466,271.7492063837053,271.2063190611028,273.98923689031193,273.6458383279345,271.62613869083015,271.77004849298254
2011-01-01 15:00:00,275.7866206951257,274.94400399148856,275.5593424558643,276.2024703992764,275.5970567488422,273.7609661696564,274.59068061516956,273.9951917786769,272.9778983496685,271.9407552927771,271.43260481897,274.02397373910736,273.37389842593615,271.2390709471099,271.4693266305537
2011-01-01 16:00:00,275.48689131409105,274.6978686057382,275.2625905190121,275.8779289833879,275.0769964983052,273.8502894951303,274.3405753038426,273.76692105802135,272.80520658708565,271.95762747647774,271.43855970733495,274.1381090994351,273.5009360443879,269.3801532958586,270.2644542180502
2011-01-01 17:00:00,275.27747773992445,274.43188359210484,275.0859288308526,275.6853875929219,274.78520696842384,273.84334212537124,274.33958282244845,273.6954623976422,272.67022911748063,272.05092072752825,271.3651160841675,274.17582339241295,273.61110147913905,270.47089034803435,271.027672410155
2011-01-01 18:00:00,275.2020491539687,274.1649060970773,274.8675829241386,275.56926726980583,274.17284594823053,273.72523683946685,274.01007899958915,273.67660525115326,272.492574947927,272.28216889236626,271.3055672005182,274.27209408764594,273.89495115786724,270.7914618383462,271.25693561220464
